date,给水泵A出口压力,给水泵B出口压力,给水泵出口母管压力,引风机入口烟气压力1,引风机入口烟气压力2,炉排中心风压力,炉排中心风风量,炉排低侧风压力,炉排低侧风风量,炉排高侧风压力,炉排高侧风风量,炉膛前墙二次风压力,炉膛压力1,炉膛压力2,炉膛后墙二次风压力,炉膛温度1,炉膛温度2,烟气冷却器出口烟气压力1,烟气冷却器出口烟气压力2,省煤器入口氧量1,省煤器入口氧量2,省煤器入口烟气压力,省煤器出口烟气压力,空气预热器出口风压力,送风机出口风量,一级减温器调节阀位置反馈,三级烟冷器出口压力,二级减温器调节阀位置反馈,五级烟冷器出口压力,减温器入口流量,四级烟冷器出口压力,汽包压力1,汽包压力2,汽包水位1,汽包水位2,省煤器低温段出口压力,省煤器高温段入口压力,省煤器高温段出口压力,空预器入口水量,给水流量1,给水流量2,给水流量3,OT
2022-01-05 10:00:00,8.45,8.47,8.46,-6.43,-12.5,1.46,-3541.55,0.9,8812.79,0.62,14166.2,-0.08,-311.36,-388.28,-0.08,607.14,655.95,-2.26,-2.31,20.0,20.0,-0.63,-0.93,6.18,538.16,0.18,-1.98,50.12,-1.23,2.02,-1.73,7.68,7.69,510.67,510.67,-1.06,-0.7,-0.87,30.33,10.84,10.58,10.31,23.36
2022-01-05 10:00:10,8.45,8.47,8.46,-6.43,-12.5,1.66,-3541.55,1.12,8579.29,0.84,14166.2,-0.08,-142.86,-142.86,-0.08,607.14,656.35,-2.09,-2.13,20.0,20.0,-0.56,-0.95,6.25,530.22,0.18,-1.82,50.12,-1.02,1.88,-1.55,7.68,7.69,510.67,515.6,-0.85,-0.48,-0.65,30.32,10.84,10.58,10.31,23.36
2022-01-05 10:00:20,8.45,8.47,8.46,-6.43,-12.5,1.47,-3541.55,0.91,8747.93,0.6,14166.2,-0.08,-300.37,-371.79,-0.08,607.14,609.92,-2.25,-2.3,20.0,20.0,-0.62,-0.94,6.25,539.68,0.18,-1.98,50.12,-1.21,2.01,-1.72,7.68,7.69,510.67,515.6,-1.03,-0.69,-0.86,29.76,10.68,10.34,10.04,23.36
2022-01-05 10:00:30,8.45,8.47,8.46,-6.43,-12.5,1.51,-3541.55,0.96,8752.26,0.69,14166.2,-0.08,-335.16,-302.2,-0.08,600.4,662.3,-2.22,-2.27,20.0,20.0,-0.6,-0.97,6.2,540.9,0.18,-1.95,50.12,-1.17,1.62,-1.69,7.62,7.69,510.67,515.6,-1.0,-0.66,-0.83,29.71,10.68,10.29,10.0,23.36
2022-01-05 10:00:40,8.45,8.47,8.46,-6.5,-12.5,1.42,-3541.55,0.89,8834.42,0.62,14166.2,-0.08,-371.79,-402.93,-0.08,600.4,655.56,-2.29,-2.35,20.0,20.0,-0.56,-0.99,6.2,540.9,0.18,-2.02,50.12,-1.26,1.8,-1.77,7.62,7.6,516.47,515.6,-1.09,-0.76,-0.91,29.9,10.68,10.43,10.0,23.03
2022-01-05 10:00:50,8.32,8.33,8.32,-6.5,-12.5,1.48,-3541.55,0.94,8817.12,0.66,14166.2,-0.08,-335.16,-338.83,-0.08,600.4,655.56,-2.26,-2.3,20.0,20.0,-0.58,-1.01,6.2,540.9,0.18,-1.99,50.12,-1.22,1.59,-1.71,7.54,7.6,516.47,520.53,-1.05,-0.68,-0.85,30.35,10.86,10.57,10.39,23.03
2022-01-05 10:01:00,8.32,8.33,8.32,-6.5,-12.5,1.58,-3541.55,1.03,8657.12,0.75,14166.2,-0.08,-302.2,-243.59,-0.08,600.4,644.44,-2.18,-2.23,20.0,20.0,-0.68,-1.01,6.2,540.9,0.18,-1.9,50.12,-1.12,1.79,-1.64,7.54,7.52,516.47,515.31,-0.96,-0.6,-0.77,30.61,11.0,10.87,10.39,22.67
2022-01-05 10:01:10,8.32,8.33,8.32,-6.43,-12.5,1.59,-3541.55,1.06,8661.45,0.73,14166.2,-0.08,-179.49,-197.8,-0.08,591.67,644.44,-2.15,-2.2,20.0,20.0,-0.66,-0.98,6.25,532.36,0.18,-1.87,50.12,-1.08,1.95,-1.6,7.46,7.52,516.47,515.31,-0.92,-0.56,-0.72,30.78,11.0,10.87,10.52,22.67
2022-01-05 10:01:20,8.32,8.33,8.32,-6.43,-12.5,1.25,-3541.55,0.78,3679.93,0.4,14166.2,-0.08,-243.59,-346.15,-0.08,591.67,637.3,-2.23,-2.29,20.0,20.0,-0.53,-0.96,6.44,497.56,0.18,-1.96,50.12,-1.2,1.95,-1.71,7.46,7.44,516.47,515.31,-1.04,-0.68,-0.84,30.65,11.0,10.65,10.39,22.67
2022-01-05 10:01:30,8.32,8.33,8.32,-6.5,-12.5,0.17,-3541.55,0.39,1392.4,0.06,14166.2,-0.08,-423.08,-496.34,-0.08,591.67,637.3,-2.35,-2.4,20.0,20.0,-0.69,-0.98,6.91,400.18,0.18,-2.08,50.12,-1.33,1.99,-1.83,7.46,7.44,516.47,515.31,-1.17,-0.82,-0.98,30.2,10.81,10.65,10.39,22.67
2022-01-05 10:01:40,8.17,8.19,8.18,-6.5,-12.5,-0.08,-3541.55,0.24,1392.4,-0.08,14166.2,-0.08,-320.51,-390.11,-0.08,591.67,637.3,-2.29,-2.34,20.0,20.0,-0.71,-0.98,7.41,321.43,0.18,-2.01,50.12,-1.25,1.6,-1.76,7.46,7.44,516.47,508.35,-1.09,-0.73,-0.9,29.67,10.68,10.4,10.11,22.4
2022-01-05 10:01:50,8.17,8.19,8.18,-6.5,-12.5,-0.08,-3541.55,0.29,1392.4,-0.04,14166.2,-0.08,-293.04,-305.86,-0.08,582.14,637.3,-2.18,-2.25,20.0,20.0,-0.65,-1.0,7.42,312.27,0.18,-1.91,50.12,-1.15,1.78,-1.67,7.39,7.38,510.09,508.35,-0.99,-0.63,-0.78,29.06,10.26,10.02,9.71,22.4
2022-01-05 10:02:00,8.17,8.19,8.18,-6.5,-12.5,-0.08,-3541.55,0.22,1716.72,-0.04,14166.2,-0.08,-560.44,-602.56,-0.08,582.14,637.3,-2.41,-2.45,20.0,20.0,-0.64,-1.04,7.02,386.14,0.18,-2.14,10.01,-1.41,0.68,-1.89,7.39,7.38,510.09,508.35,-1.26,-0.92,-1.09,29.12,10.13,9.81,9.56,22.4
2022-01-05 10:02:10,8.17,8.19,8.18,-6.42,-12.5,1.05,-3541.55,0.62,1353.49,0.28,14166.2,-0.08,-364.47,-437.73,-0.08,582.14,637.3,-2.28,-2.33,20.0,20.0,-0.68,-1.08,6.59,461.84,0.18,-2.01,2.29,-1.27,-0.32,-1.76,7.39,7.38,510.09,508.35,-1.11,-0.76,-0.92,30.95,9.86,9.59,9.31,22.08
2022-01-05 10:02:20,8.17,8.19,8.18,-6.42,-12.5,1.23,-3541.55,0.62,1673.48,0.28,14166.2,-0.08,-399.27,-437.73,-0.08,575.4,629.76,-2.25,-2.3,20.0,20.0,-0.74,-1.08,6.53,481.07,0.18,-1.99,3.39,-1.25,-0.32,-1.74,7.31,7.29,510.09,502.26,-1.09,-0.76,-0.92,31.02,9.86,9.6,9.31,22.08
2022-01-05 10:02:30,8.04,8.06,8.04,-6.42,-12.5,1.2,-3541.55,0.62,2339.41,0.25,14166.2,-0.08,-450.55,-485.35,-0.08,575.4,629.76,-2.24,-2.28,20.0,20.0,-0.72,-1.08,6.53,488.1,0.18,-1.98,8.76,-1.27,-0.19,-1.74,7.31,7.29,510.09,502.26,-1.12,-0.79,-0.96,30.35,9.86,9.6,9.44,21.78
2022-01-05 10:02:40,8.04,8.06,8.04,-6.42,-12.5,1.29,-3541.55,0.74,3178.31,0.34,14166.2,-0.08,-379.12,-404.76,-0.08,575.4,623.02,-2.18,-2.23,20.0,19.85,-0.74,-1.08,6.39,498.78,0.18,-1.93,13.98,-1.2,-0.19,-1.68,7.22,7.19,510.09,502.26,-1.04,-0.71,-0.87,30.19,9.86,9.6,9.3,21.78
2022-01-05 10:02:50,8.04,8.06,8.04,-6.48,-12.5,1.31,-3541.55,0.74,4311.26,0.4,14166.2,-0.08,-379.12,-435.9,-0.08,566.67,623.02,-2.2,-2.25,20.0,19.99,-0.7,-1.08,6.39,512.82,0.18,-1.94,18.41,-1.22,-0.14,-1.7,7.22,7.19,510.09,505.16,-1.06,-0.73,-0.89,30.01,9.86,9.6,9.33,21.78
2022-01-05 10:03:00,7.88,7.88,7.88,-6.48,-12.5,1.45,-3541.55,0.87,5893.94,0.55,14166.2,-0.08,-313.19,-335.16,-0.08,566.67,613.49,-2.14,-2.18,20.0,19.99,-0.71,-1.08,6.34,520.76,0.18,-1.87,4.85,-1.14,-0.19,-1.63,7.12,7.09,510.09,505.16,-0.98,-0.64,-0.79,29.82,9.86,9.6,9.33,21.46
2022-01-05 10:03:10,7.88,7.88,7.88,-6.48,-12.5,1.42,-3541.55,0.83,7705.79,0.51,14166.2,-0.08,-282.05,-423.08,-0.08,566.67,613.49,-2.19,-2.24,20.0,19.99,-0.66,-1.03,6.21,532.36,0.18,-1.93,0.64,-1.2,-0.32,-1.69,7.12,7.09,510.09,505.16,-1.04,-0.69,-0.84,30.56,9.86,9.42,9.33,21.46
